,pred,lat,lon
535,0,34.0467,-118.252
536,1,34.233,-118.4386
537,1,33.9748,-118.2564
538,1,34.0057,-118.2521
539,1,33.9953,-118.2915
540,0,34.1613,-118.3648
541,1,34.0817,-118.3091
542,0,33.9891,-118.3236
543,1,34.0182,-118.3067
544,0,34.0464,-118.248
545,1,34.2254,-118.3971
546,1,33.9689,-118.2813
547,0,34.0528,-118.2215
548,1,34.1929,-118.5546
549,1,33.9925,-118.2608
550,1,34.0909,-118.295
551,1,34.0524,-118.2891
552,1,33.9785,-118.3024
553,1,34.0672,-118.2941
554,0,34.0062,-118.4289
555,0,34.082,-118.1867
556,1,34.0649,-118.2797
557,0,33.9472,-118.2739
558,1,33.9933,-118.2783
559,0,34.0073,-118.3057
560,0,34.2251,-118.5372
561,0,34.098,-118.3303
562,1,34.0737,-118.3079
563,1,34.0437,-118.2098
564,1,34.1877,-118.4553
565,1,34.2247,-118.3964
566,1,34.0994,-118.1883
567,1,34.0594,-118.3803
568,0,34.0446,-118.245
569,1,34.2625,-118.4361
570,0,34.0464,-118.2402
571,1,34.055,-118.2865
572,0,33.9926,-118.4787
573,1,33.993,-118.2521
574,0,33.9467,-118.2871
575,0,34.0254,-118.2729
576,1,34.001,-118.2783
577,0,34.0386,-118.249
578,1,33.791,-118.267
579,1,34.0453,-118.2499
580,0,34.2283,-118.4611
581,0,34.0484,-118.2724
582,1,34.2319,-118.5711
583,0,34.0283,-118.2711
584,1,33.9331,-118.2542
585,1,33.9707,-118.2871
586,0,34.194,-118.3864
587,0,34.2356,-118.4829
588,1,34.1695,-118.3774
589,1,34.0146,-118.268
590,1,34.2594,-118.424
591,0,34.0935,-118.2932
592,1,33.9924,-118.3046
593,0,33.9397,-118.2462
594,1,34.0398,-118.2726
595,1,34.0325,-118.3492
596,1,33.9543,-118.2827
597,0,34.0608,-118.2903
598,1,34.2995,-118.4392
599,1,34.0416,-118.3836
600,0,34.0433,-118.2488
601,0,34.2168,-118.5579
602,0,33.9727,-118.2827
603,0,34.0199,-118.3349
604,1,34.1157,-118.2386
605,0,34.0789,-118.2586
606,1,34.2486,-118.4388
607,1,34.0289,-118.2036
608,1,33.9966,-118.2652
609,1,34.0215,-118.2313
610,1,33.9951,-118.3002
611,1,34.0974,-118.2367
612,1,34.075,-118.2838
613,1,33.9636,-118.2914
614,1,33.9688,-118.2695
615,1,34.0038,-118.274
616,0,34.0246,-118.3002
617,0,33.9814,-118.3003
618,0,34.2121,-118.3889
619,1,33.9602,-118.2651
620,0,34.0176,-118.3458
621,1,33.8429,-118.3066
622,0,34.1371,-118.3668
623,0,34.0488,-118.2553
624,1,34.0488,-118.2518
625,0,33.9822,-118.2915
626,1,34.1985,-118.4487
627,1,34.0197,-118.3495
628,1,34.0509,-118.3021
629,0,33.9345,-118.2652
630,1,34.0529,-118.2133
631,0,34.0649,-118.2797
632,1,34.0517,-118.284
633,1,34.2427,-118.6021
634,0,34.2156,-118.5623
635,0,34.0084,-118.2565
636,1,34.1017,-118.3224
637,1,34.0326,-118.335
638,0,33.995,-118.263
639,1,33.931,-118.2652
640,1,33.9993,-118.4636
641,1,34.0999,-118.3643
642,1,34.0428,-118.2461
643,1,34.205,-118.4339
644,0,33.9431,-118.2338
645,1,34.0539,-118.2756
646,1,34.2337,-118.4632
647,0,34.0434,-118.1954
648,0,34.028,-118.2421
649,0,34.126,-118.2688
650,1,33.9885,-118.4744
651,0,33.9637,-118.3003
652,0,34.2299,-118.4503
653,0,33.9429,-118.2652
654,1,34.0428,-118.2532
655,0,34.1137,-118.2353
656,1,33.931,-118.2826
657,1,34.1613,-118.4917
658,1,33.7773,-118.2795
659,0,34.1813,-118.4166
660,1,33.9958,-118.4103
661,1,33.961,-118.2695
662,0,33.9304,-118.2532
663,1,33.9933,-118.3089
664,0,34.2354,-118.4502
665,0,33.9311,-118.2493
666,1,33.7796,-118.2702
667,0,34.0291,-118.3028
668,1,34.2085,-118.4771
669,1,33.9433,-118.2541
670,1,34.0437,-118.3008
671,0,34.2932,-118.4498
672,1,33.9997,-118.2849
673,0,33.9965,-118.2762
674,1,34.0423,-118.2452
675,0,34.0146,-118.268
676,1,34.0278,-118.2915
677,0,34.0587,-118.2891
678,1,33.7771,-118.2622
679,1,34.0836,-118.3498
680,1,34.0514,-118.2001
681,1,34.0109,-118.298
682,0,34.0697,-118.2779
683,1,34.0962,-118.3441
684,0,34.0591,-118.2542
685,0,33.9746,-118.3046
686,1,34.0558,-118.3649
687,1,33.9719,-118.3155
688,0,34.2427,-118.4702
689,0,33.9879,-118.287
690,1,33.9655,-118.2871
691,0,33.779,-118.2809
692,1,34.0328,-118.323
693,0,34.2108,-118.3889
694,0,34.0309,-118.3024
695,1,34.0408,-118.2428
696,0,34.0618,-118.2903
697,1,34.0146,-118.2634
698,1,34.0182,-118.3349
699,0,34.0496,-118.265
700,0,33.9533,-118.2351
701,0,34.0076,-118.2395
702,0,34.0109,-118.3002
703,0,34.2378,-118.4465
704,1,34.1317,-118.2163
705,1,33.78,-118.2624
706,1,34.0908,-118.3092
707,0,34.0409,-118.3177
708,0,33.9798,-118.4656
709,1,34.0577,-118.2842
710,1,33.7813,-118.2609
711,1,33.949,-118.3744
712,0,34.0841,-118.2978
713,0,34.0503,-118.2055
714,0,34.0384,-118.2646
715,1,34.0163,-118.3507
716,0,34.2428,-118.4653
717,1,34.0173,-118.3505
718,0,34.04,-118.2896
719,0,34.1906,-118.5535
720,0,34.1685,-118.6058
721,0,34.3111,-118.4328
722,1,34.0285,-118.2691
723,1,33.9303,-118.2391
724,0,33.9512,-118.2476
725,0,33.9854,-118.3279
726,1,34.0461,-118.2476
727,0,34.2074,-118.4794
728,1,34.0544,-118.2809
729,0,34.1767,-118.5188
730,0,34.1027,-118.2363
731,0,34.0871,-118.3487
732,0,34.2301,-118.472
733,0,34.0206,-118.2729
734,0,33.7343,-118.2946
735,0,33.9992,-118.2762
736,1,33.9892,-118.3089
737,1,33.9717,-118.2827
738,1,34.1134,-118.2479
739,1,33.996,-118.3024
740,0,34.1867,-118.4444
741,1,34.0269,-118.4133
742,0,34.2457,-118.4066
743,0,34.0618,-118.2916
744,0,34.1673,-118.3816
745,1,34.0584,-118.2513
746,1,33.7361,-118.2923
747,1,33.941,-118.2781
748,1,34.1576,-118.438
749,0,34.1065,-118.3284
750,0,34.2103,-118.4488
751,0,33.7347,-118.2842
752,1,34.1197,-118.1982
753,1,34.0326,-118.347
754,0,34.073,-118.3157
755,1,34.2695,-118.4102
756,0,33.9806,-118.3003
757,0,34.2627,-118.5274
758,1,34.2573,-118.4674
759,1,34.1827,-118.44
760,0,33.9601,-118.2695
761,0,34.2175,-118.3703
762,0,33.9932,-118.4152
763,0,34.0828,-118.2365
764,1,34.0596,-118.2749
765,0,34.066,-118.2102
766,1,33.8826,-118.2892
767,0,34.0175,-118.2456
768,1,34.0385,-118.2811
769,1,34.0111,-118.4293
770,1,34.259,-118.4174
771,0,34.0586,-118.2402
772,1,34.0412,-118.346
773,1,34.2621,-118.4385
774,1,33.9747,-118.2783
775,1,33.9323,-118.2502
776,1,33.9602,-118.2629
777,1,33.9627,-118.4217
778,0,34.2121,-118.3889
779,0,34.2283,-118.4654
780,0,34.0417,-118.2443
781,1,33.9402,-118.2717
782,1,33.9593,-118.2564
783,0,34.1139,-118.277
784,0,34.1172,-118.3569
785,0,33.9916,-118.3002
786,1,34.0419,-118.2485
787,1,34.2871,-118.4614
788,1,34.0618,-118.3229
789,0,34.0472,-118.3189
790,1,34.053,-118.2648
791,1,34.0618,-118.3004
792,0,34.0113,-118.2493
793,1,34.2073,-118.5906
794,1,34.1016,-118.3267
795,1,33.9881,-118.3378
796,0,33.7591,-118.2979
797,1,34.0129,-118.3513
798,1,34.2609,-118.5886
799,1,34.0421,-118.206
800,0,33.9892,-118.3045
801,0,34.0933,-118.3025
802,1,33.9411,-118.2739
803,1,34.0577,-118.3066
804,1,33.991,-118.3002
805,0,34.1957,-118.5825
806,1,33.7397,-118.2923
807,0,34.0037,-118.3089
808,0,33.9373,-118.2652
809,0,34.2355,-118.4676
810,0,33.9678,-118.2893
811,1,33.9573,-118.3962
812,1,34.0154,-118.2653
813,0,33.9601,-118.2717
814,0,34.0763,-118.3114
815,1,34.0007,-118.298
816,1,34.0005,-118.2915
817,1,34.231,-118.5298
818,0,34.3123,-118.4379
819,1,33.9919,-118.2445
820,1,34.0836,-118.3046
821,0,34.0573,-118.4247
822,1,33.9456,-118.2652
823,0,34.0278,-118.3378
824,0,33.7306,-118.299
825,0,34.0002,-118.274
826,0,33.9433,-118.2477
827,0,34.0461,-118.2476
828,1,34.0137,-118.3089
829,0,34.0085,-118.3351
830,1,34.069,-118.3091
831,0,34.0537,-118.2455
832,1,34.1068,-118.2016
833,0,33.9764,-118.3246
834,1,34.0473,-118.2566
835,0,34.0571,-118.34
836,1,34.0517,-118.442
837,0,34.1723,-118.5185
838,0,34.1749,-118.5308
839,1,34.2816,-118.4073
840,1,33.9757,-118.3294
841,1,33.9798,-118.309
842,1,34.2523,-118.291
843,0,34.1106,-118.1908
844,1,34.0039,-118.2696
845,1,33.9824,-118.3003
846,1,34.2588,-118.4249
847,0,33.931,-118.2826
848,1,34.0274,-118.284
849,1,34.0161,-118.3547
850,0,33.9962,-118.4198
851,1,34.0623,-118.2383
852,0,34.0342,-118.2496
853,1,33.9979,-118.2915
854,0,34.2607,-118.6025
855,0,34.067,-118.2671
856,1,34.0495,-118.2494
857,1,34.0514,-118.2743
858,1,33.9457,-118.2379
859,0,34.1903,-118.4574
860,0,34.0682,-118.2609
861,1,34.2157,-118.3703
862,0,33.9924,-118.3046
863,0,34.0326,-118.3405
864,1,34.0926,-118.3386
865,1,33.9939,-118.4783
866,1,34.1016,-118.3387
867,1,34.0473,-118.2947
868,1,34.2268,-118.4499
869,0,34.0618,-118.2987
870,0,34.2011,-118.5208
871,1,34.0312,-118.3327
872,1,33.9511,-118.2565
873,0,34.0465,-118.3555
874,0,34.0428,-118.2461
875,1,34.1436,-118.3929
876,1,33.9921,-118.3126
877,0,34.0038,-118.2827
878,1,33.9872,-118.3264
879,0,34.1899,-118.6128
880,1,33.9433,-118.2462
881,0,34.174,-118.5888
882,0,34.0168,-118.2531
883,0,34.2787,-118.4534
884,0,33.9237,-118.2739
885,1,33.9824,-118.2739
886,1,34.0449,-118.2731
887,0,34.002,-118.274
888,1,34.0513,-118.4327
889,1,34.0627,-118.3593
890,1,33.9358,-118.2463
891,1,34.0832,-118.1905
892,0,34.0073,-118.298
893,1,33.9632,-118.2827
894,0,33.9943,-118.2739
895,1,34.2249,-118.4792
896,0,33.9837,-118.3294
897,0,34.1913,-118.4041
898,1,34.2058,-118.3943
899,1,34.2246,-118.5274
900,1,33.9861,-118.2739
901,1,34.056,-118.2929
902,1,33.9311,-118.2664
903,1,34.0522,-118.3334
904,0,34.0029,-118.2591
905,0,34.0772,-118.2584
906,1,34.0487,-118.2192
907,0,33.9547,-118.2695
908,0,34.0242,-118.2623
909,0,34.1016,-118.3333
910,1,34.0761,-118.3574
911,0,34.0637,-118.2749
912,1,34.0549,-118.2778
913,1,33.931,-118.2739
914,0,33.9274,-118.2782
915,0,33.9323,-118.2502
916,1,34.0485,-118.2513
917,1,34.0863,-118.3005
918,1,34.2579,-118.3131
919,1,34.2704,-118.4162
920,1,33.9872,-118.4732
921,1,34.0506,-118.3127
922,0,34.1575,-118.5392
923,1,34.0203,-118.2506
924,1,34.0037,-118.3113
925,0,34.0495,-118.4609
926,1,34.0,-118.3282
927,1,34.0181,-118.2689
928,0,34.2429,-118.3887
929,1,33.9941,-118.2937
930,1,33.9709,-118.2739
931,1,34.0546,-118.2684
932,1,33.9637,-118.2717
933,0,34.1016,-118.332
934,0,34.0409,-118.2609
935,1,33.988,-118.4703
936,1,34.0056,-118.2784
937,0,34.244,-118.4475
938,1,34.2282,-118.4553
939,1,34.024,-118.409
940,0,34.0639,-118.2721
941,1,33.94,-118.309
